,"0,…","1,…","0,….1","1,….1","0,….2","1,….2","0,….3","1,….3","0,….4","1,….4","0,….5","1,….5","0,….6","1,….6","0,….7","1,….7",Unnamed: 17
0,0,0,105,6,213,22,325,51,445,95,577,155,727,236,900,346,100
1,1,0,106,6,214,22,326,51,446,95,578,155,728,237,902,347,99
2,2,0,107,6,215,23,327,52,448,96,580,156,730,238,904,348,98
3,3,0,108,6,216,23,328,52,449,96,581,156,731,239,906,349,97
4,4,0,109,6,217,24,330,53,450,97,583,157,733,240,908,351,96
5,5,0,110,6,218,24,331,53,451,97,584,158,734,241,910,352,95
6,6,0,111,6,219,24,332,54,453,98,586,159,736,242,912,353,94
7,7,0,112,6,220,24,333,54,454,98,587,159,737,243,914,354,93
8,8,0,113,6,221,25,334,54,455,99,589,160,739,244,916,355,92
9,9,0,114,6,222,25,335,54,456,99,590,160,741,244,917,356,91
10,10,0,116,7,224,25,337,55,458,100,591,161,743,245,919,358,90
11,11,0,117,7,225,25,338,55,459,100,592,162,744,246,921,359,89
12,12,0,118,7,226,26,339,56,460,101,594,163,746,247,923,360,88
13,13,0,119,7,227,26,340,56,461,101,595,163,747,248,925,361,87
14,15,0,120,7,228,26,341,57,463,102,597,164,749,249,927,363,86
15,16,0,121,7,229,26,342,57,464,102,598,164,750,250,929,364,85
16,17,0,122,7,230,27,344,57,465,103,600,165,752,251,931,366,84
17,18,0,123,7,231,27,345,57,466,103,601,166,754,252,933,367,83
18,19,0,124,7,232,27,346,58,468,104,603,167,756,253,935,369,82
19,20,0,125,7,233,27,347,58,469,104,604,168,757,254,937,370,81
20,21,0,126,8,235,27,348,59,471,105,606,169,759,255,939,372,80
21,22,0,127,8,236,27,349,59,472,105,607,170,760,256,941,373,79
22,23,0,129,8,237,28,351,59,473,106,609,171,762,257,943,374,78
23,24,0,130,8,238,28,352,59,474,106,610,171,764,258,945,375,77
24,25,0,131,9,239,28,353,60,476,107,611,172,766,259,947,377,76
25,26,0,132,9,240,28,354,60,477,108,612,173,767,260,949,378,75
26,27,0,133,9,241,29,356,61,478,109,614,174,769,261,951,379,74
27,28,0,134,9,242,29,357,61,479,109,615,174,770,262,953,380,73
28,29,0,135,9,243,29,358,62,481,110,617,175,772,263,955,382,72
29,30,0,136,9,244,29,359,62,482,60,618,175,774,264,957,383,71
30,31,0,137,9,246,30,360,63,483,11,620,176,776,265,959,385,70
31,32,0,138,9,247,30,361,63,484,61,621,177,777,266,961,386,69
32,34,1,139,10,248,30,362,64,486,112,623,178,779,267,963,388,68
33,35,1,140,10,249,30,363,64,487,112,624,178,780,268,965,389,67
34,36,1,141,10,250,31,365,64,489,113,626,179,782,269,967,391,66
35,37,1,142,10,251,31,366,64,490,113,627,180,784,270,969,392,65
36,38,1,143,10,252,31,367,65,491,114,629,181,786,272,971,394,64
37,39,1,144,10,253,31,368,65,492,114,630,182,787,273,973,395,63
38,40,1,146,10,254,32,369,66,494,115,632,183,789,274,975,397,62
39,41,1,147,10,255,32,370,66,495,115,633,184,791,275,977,398,61
40,42,1,148,11,257,32,372,67,496,116,635,185,793,276,979,400,60
41,43,1,149,11,258,32,373,67,497,116,636,185,794,277,981,401,59
42,44,1,150,11,259,33,374,68,499,117,638,186,796,278,983,403,58
43,45,1,151,11,260,33,375,68,500,118,639,187,797,279,985,404,57
44,46,1,152,11,261,33,377,68,502,119,640,188,799,280,987,405,56
45,47,1,153,11,262,33,378,68,503,119,641,188,801,281,989,406,55
46,48,1,154,12,263,34,379,69,504,120,643,189,803,282,992,408,54
47,49,1,155,12,264,34,380,69,505,120,644,189,804,283,994,409,53
48,50,1,156,12,266,34,381,70,507,121,646,190,806,285,996,411,52
49,51,1,157,12,267,34,382,70,508,121,647,191,808,286,998,412,51
50,52,1,158,12,268,35,384,71,510,122,649,192,810,287,1000,414,50
51,53,1,159,12,269,35,385,71,511,123,650,192,811,288,1002,415,49
52,55,1,160,13,270,36,386,72,512,124,652,193,813,289,1004,417,48
53,56,1,161,13,271,36,387,72,513,124,653,194,815,290,1006,418,47
54,57,2,163,13,272,36,389,73,515,125,655,195,817,291,1008,420,46
55,58,2,164,13,273,36,390,73,516,125,656,196,818,292,1010,421,45
56,59,2,165,13,275,37,391,74,518,126,658,197,820,293,1012,423,44
57,60,2,166,13,276,37,392,74,519,126,659,198,822,294,1014,424,43
58,61,2,167,14,277,37,393,75,520,127,661,199,824,295,1016,426,42
59,62,2,168,14,278,37,394,75,521,128,662,199,825,296,1018,427,41
60,63,2,169,14,279,38,396,75,523,129,664,200,827,298,1020,429,40
61,64,2,170,14,280,39,397,75,524,129,665,201,829,299,1022,430,39
62,65,2,171,14,281,40,398,76,525,130,667,202,831,300,1024,432,38
63,66,2,172,14,282,40,399,76,526,130,668,203,832,301,1026,433,37
64,67,2,173,15,284,40,400,77,528,131,670,204,834,302,1028,435,36
65,68,2,174,15,285,40,401,77,529,131,671,205,836,303,1030,436,35
66,69,2,175,15,286,41,403,78,531,132,673,206,838,305,1032,438,34
67,70,2,176,15,287,41,404,78,532,133,674,207,839,306,1034,439,33
68,71,2,178,15,288,41,406,79,533,134,676,208,841,307,1036,441,32
69,72,2,179,15,289,41,407,79,534,134,678,208,843,308,1038,442,31
70,73,3,180,16,291,42,408,80,536,135,680,209,845,309,1040,444,30
71,74,3,181,16,292,42,409,80,537,135,681,210,847,310,1042,445,29
72,76,3,182,16,293,42,410,81,539,136,683,211,849,311,1044,447,28
73,77,3,183,16,294,42,411,81,540,137,684,211,850,312,1046,448,27
74,78,3,184,16,295,43,413,82,542,138,686,212,852,314,1048,450,26
75,79,3,185,16,296,43,414,82,543,138,687,213,854,315,1050,451,25
76,80,3,186,17,297,43,415,83,544,139,689,214,856,316,1052,453,24
77,81,3,187,17,298,43,416,83,545,139,690,215,858,317,1054,454,23
78,82,3,188,17,300,44,418,84,547,140,692,216,860,318,1056,456,22
79,83,3,189,17,301,44,419,84,548,141,693,217,861,319,1058,457,21
80,84,3,191,18,302,44,420,85,550,142,695,218,863,321,1060,459,20
81,85,3,192,18,303,44,421,85,551,142,696,219,865,322,1062,460,19
82,86,4,193,18,304,45,423,86,553,143,698,220,867,323,1064,462,18
83,87,4,194,18,305,45,424,86,554,143,699,220,868,324,1066,463,17
84,88,4,195,18,306,45,425,87,555,144,701,221,870,326,1068,465,16
85,89,4,196,18,307,45,426,87,556,144,702,222,872,327,1070,466,15
86,90,4,197,19,309,46,428,88,558,145,704,223,874,328,1072,468,14
87,91,4,198,19,310,46,429,88,559,145,705,224,876,329,1074,469,13
88,92,4,199,19,311,47,430,89,561,146,707,225,878,330,1076,471,12
89,93,4,200,19,312,47,431,89,562,147,709,226,880,331,1078,472,11
90,94,4,201,20,313,48,433,90,563,148,711,227,882,333,1080,474,10
91,95,4,202,20,314,48,434,90,564,148,712,228,883,334,1082,475,9
92,97,5,204,20,316,48,435,91,566,149,714,229,885,335,1084,477,8
93,98,5,205,20,317,48,436,91,567,149,715,230,887,336,1086,478,7
94,99,5,206,21,318,49,438,92,569,150,717,231,889,338,1088,480,6
95,100,5,207,21,319,49,439,92,570,151,718,232,891,339,1090,481,5
96,101,5,208,21,320,50,440,93,572,152,720,233,893,340,1092,483,4
97,102,5,209,21,321,50,441,93,573,152,721,234,895,341,1094,484,3
98,103,5,210,21,323,50,443,94,575,153,723,235,897,343,1096,486,2
99,104,5,211,21,324,50,444,94,576,154,725,235,898,344,1098,487,1
100,105,6,213,22,325,51,445,95,577,155,727,236,900,346,1100,489,0
